Micron has declared its first quarterly profit for three years.	Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.
Waksal, in a letter to the court, said: "I tore my family apart.	In seeking leniency, Waksal apologized to the court, his employees and his family.
Since early May, the city has received 1,400 reports of dead blue jays and crows, Jayroe said.	Since early May, the city has received 1,400 reports, he said.
The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.	The House has passed bills the past two Congresses, but the Senate has not.
The elderly and those with weakened immune systems are also urged to protect against mosquito bites.	But for the elderly and those with weakened immune systems, it can be fatal.
The Winston-Salem, North Carolina company opened six stores during the quarter, bringing the total to 282.	Six new Krispy Kreme stores were opened in the first quarter, bringing the total number of stores to 282.
Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.	Klarman was arrested by FBI agents Monday morning at his home in New York.
Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.	Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.
Sequent representatives could not immediately be reached for comment on the SCO announcement.	A spokesman for SCO could not be reached for comment this afternoon.
MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.	The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.
In connection with the incident, I have acknowledged that I behaved inappropriately."	"I have acknowledged that I behaved inappropriately," he said.
A spokesman said: "Since November, we have co-operated fully with the police.	It added it had "co-operated fully" with police since November.
The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.	The technology-laced Nasdaq Composite Index .IXIC lost 2 points, or 0.18 percent, to 1,649.
The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.	Marissa Jaret Winokur, as Tracy, won for best actress in a musical.
For the entire season, the average five-day forecast track error was 259 miles, Franklin said.	"The average track error for the five-day (forecast) is 323 nautical miles.
"It appears from our initial report that this was a textbook landing considering the circumstances," Burke said.	Said Mr. Burke: "It was a textbook landing considering the circumstances."
Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.	Allegiant's stock closed Wednesday at $23.40, up 64 cents, in trading on the Nasdaq market.
By state law, 911 calls are not public information and were not released.	By law, 911 calls are not public information in Rhode Island.
Orange shares jumped as much as 15 percent.	France Telecom shares dropped 3.6 percent while Orange surged 13 percent.
SCO says the pricing terms for a license will not be announced for weeks.	Details on pricing will be announced within a few weeks, McBride said.
The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.
The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed.	The British Foreign Office said it had mediated the two men's release.
Wal-Mart estimates more than 100 million Americans visit their stores every week.	Each week 138 million shoppers visit Wal-Mart's 4,750 stores.
"I am proud that I stood against Richard Nixon, not with him," Kerry said.	"I marched in the streets against Richard Nixon and the Vietnam War," she said.
He claimed Red Hat and the Free Software Foundation with trying to undermine U.S. copyright and patent law.	In his letter, McBride charges the Free Software Foundation and Red Hat with trying to undermine U.S. copyright laws.
Shares of Corixa were gaining 71 cents, or 10%, to $7.91 on the Nasdaq.	In late-morning trading on the Nasdaq Stock Market, Corixa was up 74 cents, or 10%, at $7.94.
Police then called a bomb squad, but the device exploded, killing Wells, before bomb technicians arrived.	While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.
"This has been a persistent problem that has not been solved," investigation board member Steven Wallace said.	"This was a persistent problem which has not been solved, mechanically and physically," said board member Steven Wallace.
At 12 months there was still a difference in function, although it was not a significant one.	At 12 months, there was still a difference between the groups, but it was not considered significant.
Ridge said no real explosives or harmful devices will be used in the exercise.	Ridge said that no actual explosives or other harmful substances will be used.
This is America, my friends, and it should not happen here," he said to loud applause.	"This is America, my friends, and it should not happen here."
Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.	Bashir also felt he was being tried by opinion rather than facts of law, he added.
Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.	But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.
The Standard & Poor's 500 Index slipped 4.77, or 0.5 percent, to 929.62.	The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934.
School officials said Van-Vliet reported the accident using the bus’ radio.	Van-Vliet, who was also injured, called in the accident on the school bus radio.
The Dow Jones industrial average .DJI edged up 13.33 points, or 0.15 percent, to 9,196.55.	The Dow Jones industrial average <.DJI> was off 7.75 points, or 0.08 percent, at 9,175.47.
Monkeypox is usually found only in central and western Africa.	Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin.
Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.	Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.
The film is the second of a trilogy, which will wrap up in November with The Matrix Revolutions.	"Reloaded" is the second installment of a trilogy; "The Matrix Revolutions" is slated for debut in November.
In addition, the Justice Department said that the FBI has conducted ''fewer than 10'' investigations involving visits to mosques.	In addition, "fewer than 10" FBI offices have conducted investigations involving visits to Islamic mosques, the Justice Department said.
The launch coincides with the JavaOne developers' conference in San Francisco this week.	The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.
Its former chief Mickey Robinson was fired for cause when he left in September, the company said.	Chief Executive Mickey Robinson was fired for cause in September, the company said last month.
Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.	Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.
On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.	Moore of Alabama says he will appeal his case to the nation's highest court.
The Standard & Poor's 500 index advanced 6.48, or 0.7 per cent, to 990.51.	The broader Standard & Poor's 500 Index .SPX rose 6.48 points, or 0.66 percent, to 990.51.
This year the Audubon Society once again hosts its annual Christmas Bird Count.	It's the National Audubon Society's annual Christmas Bird Count, now in its 104th season.
Before it was removed, the site listed in broken English the rules for hackers who might participate.	Organizers established a Web site, http://defacerschallenge.com, listing in broken English the rules for hackers who might participate.
Doctors have speculated that the body’s own estrogen protects against cell damage and improves blood flow.	Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.
They also found shortness was associated with a family history of hearing loss.	Shortness was found twice as often in those with hearing loss.
In an E-mail statement to the Knoxville News Sentinel, Shumaker said, ''I am not giving any consideration to resignation.	I am not giving any consideration to resignation," Shumaker said in a statement.
Bulger's brother is now on the agency's ''10 Most Wanted'' list, sought in connection with 21 murders.	Bulger's brother, a former FBI informant, is now on the law enforcement agency's "10 Most Wanted" list.
Doctors had planned to deliver him two weeks early, on or around November 14.	A Caesarean had originally been planned in mid- November, two weeks early.
The technology-laced Nasdaq Composite Index .IXIC rose 17.26 points, or 1.06 percent, to 1,640.06, based on the latest data.	The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73.
Founders of the group are Matsushita Electric, Sony, Hitachi, NEC, Royal Philips Electronics, Samsung, Sharp and Toshiba.	CELF's founding members are Hitachi, Matsushita, NEC, Philips, Samsung, Sharp, Sony, and Toshiba.
During a screaming match in 1999, Carolyn told John she was still sleeping with Bergin.	She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, "Baywatch" hunk Michael Bergin.
On the other hand, if this will help further establish Steve's innocence, we welcome it."	If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it."
Florida's Supreme Court has twice refused to hear the case.	On Tuesday, a Florida appeals court again refused to block removal of the tube.
Four versions of Windows operating systems are targeted: Windows NT, Windows 2000, Windows XP and Windows Server 2003.	The new worm affects these Windows systems: 2000, XP, NT 4.0 and Server 2003.
Such a step could put the issue before the UN Security Council.	The matter could then be sent to the U.N. Security Council.
He planned to stay all day until the river crested, which was forecast for late last night.	He and the other lawyers planned to stay until the river starts receding.
Dealers said the single currency's downward momentum against the dollar could pick up speed if it broke below $1.15.	Dealers said the euro's downward momentum may pick up speed should it break below $1.15.
Gemstar's shares gathered up 2.6 percent, adding 14 cents to $5.49 at the close.	Gemstar shares moved higher on the news, closing up 2.6 percent at $5.49 on Nasdaq.
"The European Union is basically absent," said Tito Barbini, regional minister for agriculture in Tuscany, Italy.	Tito Barbini, a regional minister for agriculture in Tuscany, Italy, criticized the absence Tuesday in Sacramento.
Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.	Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close.
He playfully chided the Senate's "little bitty tax relief plan."	We don't need a little bitty tax relief plan.
Looking to buy the latest Harry Potter?	Harry Potter's latest wizard trick?
The Dow Jones industrial average <.DJI> was off 58.69 points, or 0.64 percent, at 9,137.86.	The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.
From Broadway comedies like "The Seven Year Itch" (1952), "Will Success Spoil Rock Hunter?"	Playwright George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?
His lawyer, Pamela MacKey, said Bryant expects to be completely exonerated.	"Mr. Bryant is innocent and expects to be completely exonerated," Mackey said in a statement.
It was the best advance since Oct. 1, when the index gained 22.25.	Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25.
Scientists believed Stardust trapped thousands of particles of dust.	Stardust was designed to gather thousands of dust particles streaming from Wild 2.
Nine seconds later, it broke the sound barrier and continued its steep powered ascent.	Nine seconds later, SpaceShipOne broke the sound barrier, the company said.
Both devices implement the v1.2 standard's eSCO facility to provide the basis for new cordless telephony applications.	BlueCore3 also implements v1.2's eSCO facility to provide the basis for advanced cordless telephony applications for Bluetooth transmission.
Michael Bloomberg, NYC Mayor: "I'm gonna try march with a number of different groups.	"I'm going to try to march with a number of different groups," Bloomberg said.
Griffith, a Mount Airy native, now lives on the North Carolina coast in Manteo.	Griffith, 77, grew up in Mount Airy and now lives in Manteo.
"I notice a mood change in their priorities," one politician said.	"I notice a mood change in their priorities," said one Iraqi politician after meeting with Mr. Bremer.
"But HRT should not be used to prevent heart disease or any other chronic condition."	"The clear message is it should not be used to prevent cardiovascular disease," Manson said.
The network is also dropping its Friday night "Dateline" edition.	The network will drop one edition of "Dateline," its newsmagazine franchise.
Rusch has also allowed five or more earned runs in each of his last three starts.	Redman has allowed two earned runs or less in six of his nine starts.
Mr. Turner transferred about 10 million shares to a charitable trust before they were sold.	The sales leave Mr. Turner with about 45 million shares in AOL.
The New York Mets then selected outfielder Lastings Milledge from Lakewood Ranch High School in Florida.	The Mets took Lastings Milledge, an outfielder from Florida, with the 12th pick.
An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel.	According to an arrest warrant, Bryant, 24, attacked a woman on June 30.
Florida Sen. Bob Graham was not identifiable by 61 percent of those polled.	Kerry was viewed favorably by 66 percent of those polled; Dean at 57 percent.
The broader Standard & Poor's 500 Index .SPX rose 3.47 points, or 0.36 percent, to 977.59.	The tech-laden Nasdaq Composite Index .IXIC shed 8 points, or 0.45 percent, to 1,645.
As a result, 24 players broke par in the first round.	Twenty-four players broke par in the first round, the third highest figure in U.S. Open history.
Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.	Those talks have not taken place, according to an Oracle spokeswoman.
FRIENDS of Robert De Niro yesterday rallied around him after he was diagnosed with prostate cancer.	Hollywood actor Robert De Niro has been diagnosed with prostate cancer, his spokesman said today.
Albertsons and Kroger's Ralphs chain locked out their workers in response.	Kroger's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity.
The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36.	The Nasdaq composite index fell 2.95, or 0.2 percent, for the week to 1,912.36 after stumbling 37.78 yesterday.
Shares of SCO closed at $10.93, down 28 cents, in Monday trading on the Nasdaq Stock Market.	IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange.
Brendsel and chief financial officer Vaughn Clarke resigned June 9.	The company's chief executive retired and chief financial officer resigned.
On health care, the NDP says there will be no privatization and no health-care premiums.	The New Democrats also renewed their commitment to no health-care privatization and no premiums.
Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus.	ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus.
Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14.	The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.
The procedure is generally performed in the second or third trimester.	The technique is used during the second and, occasionally, third trimester of pregnancy.
Kids, adults, booksellers and postal workers all are preparing for "Harry Potter and the Order of the Phoenix."	The crates are full of hardback copies of "Harry Potter and the Order of the Phoenix."
Besides Hampton and Newport News, the grant funds water testing in Yorktown, King George County, Norfolk and Virginia Beach.	The grant also funds beach testing in King George County, Norfolk and Virginia Beach.
Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.	The Fed also said the risks to the economy were biased toward weakness.
"There is the real potential for a secondary collapse," Gov. James McGreevey said.	The damaged area of the garage was not stable, with ``the real potential for a secondary collapse,'' McGreevey said.
No. 2 HP saw its Unix server sales dropped 3.6 percent to $1.36 billion.	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
"These changes may affect a large number of existing Web pages," the statement continued.	Still, changes to IE "may affect a large number of existing Web pages," according to the W3C's notice.
"People are obviously inconvenienced," said Dr. Jim Young, Ontario's commissioner of public safety.	"We're being hyper-vigilant," said Dr. James Young, Ontario's commissioner of public safety.
The others were given copies of "Dr. Atkins' New Diet Revolution" and told to follow it.	The researchers gave copies of "Dr. Atkins' New Diet Revolution" to the carb-cutters.
The blaze then spread to several surrounding structures on the property and destroyed them.	The fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters.
The rapper's lawyer, Mark Gann, didn't return calls for comment.	The 27-year-old rapper's attorney in the civil matter, Mark Gann, did not return calls for comment.
Sources say agents confiscated "several" documents he was carrying.	Agents confiscated several classified documents in his possession and interrogated him.
The helicopter burst into flames upon impact, according to the Mohave County Sheriff's Office.	The helicopter was owned by Las Vegas-based Sundance Helicopters Inc., according to the sheriff's office.
I think we made the right case and did the right thing."	Mr Blair went on: "I think we did the right thing in relation to Iraq.
Russin did not comment; his lawyer did not attend the hearing and did not return phone messages.	His lawyer, a cousin, Basil Russin, did not attend the hearing and did not return phone messages.
Licensing revenue slid 21 percent, however, to $107.6 million.	License sales, a key measure of demand, fell 21 percent to $107.6 million.
The Bishop of Armidale, Peter Brain, was forthright.	"He hasn't got much choice," said the Bishop of Armidale, Peter Brain.
When fully operational, the facility is expected to employ up to 1,000 people.	The plant would employ 1,000 people when fully built out, the company said.
Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.	The judge scheduled another oversight hearing for late January.
The American Stock Exchange biotech index .BTK surged 5 percent.	The Philadelphia Stock Exchange's semiconductor index .SOXX jumped 6.10 percent.
"I really liked him and I still do," Cohen Alon told the Herald yesterday.	And I really liked him, and I still do.
The Sunshine Group LTD represented the developers, The Related Companies and Apollo Real Estate Advisors LP, on the deal.	The developers, The Related Cos. and Apollo Real Estate Advisors, hope sales top $1 billion.
State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him.	Missouri Education Commissioner Kent King said he was disappointed by the scores.
Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.	When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines.
Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group.	SCO changed its name to Tarantella, and Caldera later changed its name to the SCO Group.
"It is about a third of what I owe in the world," he told reporters.	It ain't coming to me, but it's only about a third of what I owe in the world.
The best-performing stock was Altria Group Inc., which rose more than 27 percent to close at $42.31 a share.	Altria Group Inc. MO.N fell 50 cents, or 1.2 percent, to $41.81.
"This is an easy case in my view and wholly without merit, both factually and legally."	"This case is wholly without merit, both factually and legally," Judge Denny Chin scoffed.
The tech-laced Nasdaq Composite Index gained 2.90 points, or 0.18 percent, to 1,606.87.	At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.
The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts.	Maximum sustained winds were around 40 mph, with stronger gusts.
The WiFi potties were to be unveiled this summer, at music festivals in Britain.	The world's first portal potty was soon to be rolled out at summer festivals in Great Britain.
The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.	Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.
So was Edie Falco, the critically praised co-star of "Frankie and Johnny."	Edie Falco was not nominated for "Frankie and Johnny."
John Hickenlooper had 65 percent of the vote to 35 percent for City Auditor Don Mares.	Hickenlooper clobbered city Auditor Don Mares, 46, in the Tuesday runoff.
